Name,URL,Position,HallOfFame,TotalYears,LastYear,Active
David Sims,/S/SimsDa01.htm,S,0,1,2012,False
Fish Smithson,/S/SmitFi00.htm,S,0,1,2017,True
Daniel Sorensen,/S/SoreDa01.htm,S,0,6,2019,True
Darrell Stuckey,/S/StucDa20.htm,S,0,7,2016,False
Tre Sullivan,/S/SullTr01.htm,S,0,1,2018,False
Daxton Swanson,/S/SwanDa01.htm,S,0,1,2014,False
Keith Tandy,/T/TandKe00.htm,S,0,7,2018,False
Roderic Teamer,/T/TeamRo00.htm,S,0,1,2019,True
Marvell Tell,/T/TellMa00.htm,S,0,1,2019,True
Michael Thomas,/T/ThomMi02.htm,S,0,7,2019,True
Deionte Thompson,/T/ThomDe06.htm,S,0,1,2019,True
Mykkele Thompson,/T/ThomMy00.htm,S,0,1,2016,False
Juan Thornhill,/T/ThorJu00.htm,S,0,1,2019,True
Brynden Trawick,/T/TrawBr00.htm,S,0,7,2019,True
Suaesi Tuimaunei,/T/TuimSu00.htm,S,0,1,2012,False
Zeke Turner,/T/TurnZe00.htm,S,0,2,2019,True
Winston Venable,/V/VenaWi00.htm,S,0,1,2011,False
Tracy Walker,/W/WalkTr01.htm,S,0,2,2019,True
Anthony Walters,/W/WaltAn01.htm,S,0,4,2014,False
Pierre Warren,/W/WarrPi00.htm,S,0,1,2014,False
Kyzir White,/W/WhitKy00.htm,S,0,2,2019,True
J.J. Wilcox,/W/WilcJ.00.htm,S,0,6,2018,True
Khari Willis,/W/WillKh00.htm,S,0,1,2019,True
Donovan Wilson,/W/WilsDo01.htm,S,0,1,2019,True
Jarrod Wilson,/W/WilsJa00.htm,S,0,4,2019,True
Tracy Wilson,/W/WilsTr01.htm,S,0,2,2012,False
Andrew Wingard,/W/WingAn01.htm,S,0,1,2019,True
