Name,URL,Position,HallOfFame,TotalYears,LastYear,Active
Alan Branch,/B/BranAl99.htm,DT,0,11,2017,False
Caleb Brantley,/B/BranCa00.htm,DT,0,3,2019,True
Josh Brent,/B/BrenJo00.htm,DT,0,5,2014,False
Bob Briggs,/B/BrigBo20.htm,DE-DT,0,7,1974,False
Matt Brock,/B/BrocMa20.htm,DE-DT,0,8,1996,False
Michael Brockers,/B/BrocMi00.htm,DT,0,8,2019,True
Jay Bromley,/B/BromJa00.htm,DT,0,5,2018,False
Jermaine Brooks,/B/BrooJe20.htm,DT,0,1,2003,False
Larry Brooks,/B/BrooLa00.htm,DT,0,11,1982,False
Lee Brooks,/B/BrooLe00.htm,DT,0,7,1976,False
Kevin Brooks,/B/BrooKe20.htm,DT-DE,0,6,1990,False
Michael Brooks,/B/BrooMi02.htm,DT,0,1,2013,False
Perry Brooks,/B/BrooPe20.htm,DT,0,7,1984,False
Willie Broughton,/B/BrouWi20.htm,DT-NT,0,12,1996,False
Doug Brown,/B/BrowDo24.htm,DT,0,3,1964,False
Doug Brown,/B/BrowDo23.htm,DT,0,2,1999,False
Gilbert Brown,/B/BrowGi20.htm,DT,0,11,2003,False
Greg Brown,/B/BrowGr20.htm,DE-DT,0,8,1988,False
Howie Brown,/B/BrowHo20.htm,G-T-DT,0,3,1950,False
Jerome Brown,/B/BrowJe00.htm,DT,0,5,1991,False
Joe Brown,/B/BrowJo20.htm,DT,0,1,2001,False
Kareem Brown,/B/BrowKa99.htm,DT,0,1,2007,False
Malcom Brown,/B/BrowMa01.htm,DT,0,5,2019,True
Miles Brown,/B/BrowMi01.htm,DT,0,1,2019,True
Robert Brown,/B/BrowRo02.htm,DT-DE,0,11,1976,False
Roger Brown,/B/BrowRo03.htm,DT,0,10,1969,False
