Name,URL,Position,HallOfFame,TotalYears,LastYear,Active,MVP,Pro Bowl,All-Pro,SB Champ,AP PoY
Sam Huff,/H/HuffSa00.htm,LB,1,14,1969,False,0,5,2,0,0
Ray Lewis,/L/LewiRa00.htm,LB,1,17,2012,False,0,13,7,2,0
Von Miller,/M/MillVo00.htm,LB,0,9,2019,True,0,8,3,1,0
Sam Mills,/M/MillSa00.htm,LB,0,12,1997,False,0,5,1,0,0
Roger Zatkoff,/Z/ZatkRo00.htm,LB-DE,0,6,1958,False,0,3,1,0,0
Frank Zombo,/Z/ZombFr00.htm,LB,0,9,2018,False,0,0,0,1,0
George Zorich,/Z/ZoriGe20.htm,G-LB,0,4,1947,False,0,0,0,0,0
Sam Mills,/M/MillSa00.htm,LB,0,1,1997,False,0,0,0,0,0
