Name,URL,Position,HallOfFame,TotalYears,LastYear,Active,MVP,Pro Bowl,All-Pro,SB Champ,AP PoY
Justin Staples,/S/StapJu00.htm,DL,0,3,2016,False,0,0,0,0,0
Emmanuel Stephens,/S/StepEm00.htm,DL,0,2,2012,False,0,0,0,0,0
Phil Taylor,/T/TaylPh00.htm,DL,0,4,2014,False,0,0,0,0,0
Jerry Tillery,/T/TillJe00.htm,DL,0,1,2019,True,0,0,0,0,0
Kiante Tripp,/T/TripKi00.htm,DL,0,1,2011,False,0,0,0,0,0
Shy Tuttle,/T/TuttSh00.htm,DL,0,1,2019,True,0,0,0,0,0
Tyrunn Walker,/W/WalkTy00.htm,DL,0,6,2017,False,0,0,0,0,0
Armon Watts,/W/WattAr01.htm,DL,0,1,2019,True,0,0,0,0,0
Christian Wilkins,/W/WilkCh00.htm,DL,0,1,2019,True,0,0,0,0,0
Quinnen Williams,/W/WillQu00.htm,DL,0,1,2019,True,0,0,0,0,0
Renell Wren,/W/WrenRe00.htm,DL,0,1,2019,True,0,0,0,0,0
